no_of_previous_bookings_not_canceled,room_type_reserved,Booking_ID,no_of_children,repeated_guest,no_of_special_requests,no_of_adults,arrival_year,no_of_week_nights,type_of_meal_plan,booking_status,required_car_parking_space,market_segment_type,avg_price_per_room,arrival_date,no_of_weekend_nights,arrival_month,lead_time,no_of_previous_cancellations
1,Room_Type 1,INN06294,0,1,1,1,2018,0,Meal Plan 1,Not_Canceled,0,Offline,68.8,19,1,12,7,0
0,Room_Type 4,INN03501,1,0,2,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,160.5,17,0,6,23,0
0,Room_Type 1,INN28794,0,0,0,2,2017,1,Meal Plan 1,Not_Canceled,0,Offline,67,17,0,10,289,0
0,Room_Type 1,INN21934,0,0,1,3,2018,3,Meal Plan 1,Canceled,0,Offline,96.9,9,0,8,200,0
0,Room_Type 1,INN13538,0,0,0,1,2017,1,Meal Plan 1,Not_Canceled,0,Corporate,71,17,0,11,22,0
0,Room_Type 1,INN25109,0,0,2,2,2017,5,Meal Plan 1,Not_Canceled,0,Online,131.43,13,2,10,14,0
0,Room_Type 1,INN20885,0,0,0,1,2018,1,Meal Plan 1,Not_Canceled,0,Corporate,79,29,0,11,4,0
0,Room_Type 1,INN34498,0,0,1,2,2018,2,Meal Plan 1,Canceled,0,Online,135.9,10,2,9,60,0
0,Room_Type 1,INN16321,0,0,1,2,2018,5,Not Selected,Not_Canceled,0,Online,86.82,27,2,4,102,0
0,Room_Type 1,INN35344,0,0,0,2,2018,1,Not Selected,Canceled,0,Online,94.5,12,0,7,98,0
0,Room_Type 1,INN26059,0,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,90.9,31,0,3,60,0
0,Room_Type 1,INN21982,0,0,0,2,2018,4,Not Selected,Canceled,0,Online,84.43,1,2,5,97,0
0,Room_Type 1,INN12464,0,0,0,2,2018,1,Meal Plan 1,Canceled,0,Online,114.3,30,1,7,145,0
0,Room_Type 1,INN01799,0,0,1,2,2018,3,Not Selected,Not_Canceled,0,Online,94.5,25,1,7,64,0
0,Room_Type 4,INN06452,0,0,2,3,2018,1,Meal Plan 1,Canceled,0,Online,128.7,29,2,10,223,0
0,Room_Type 1,INN10017,0,0,1,2,2018,1,Not Selected,Not_Canceled,0,Online,167,13,0,8,4,0
0,Room_Type 1,INN35999,0,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,109.8,5,0,8,138,0
0,Room_Type 1,INN04287,0,0,0,1,2018,1,Meal Plan 1,Canceled,0,Corporate,169,21,0,9,2,0
0,Room_Type 1,INN34402,0,0,1,2,2018,3,Meal Plan 1,Canceled,0,Online,105.3,14,0,7,171,0
0,Room_Type 1,INN08053,0,0,1,1,2018,4,Meal Plan 1,Not_Canceled,0,Online,97.85,31,1,8,144,0
0,Room_Type 2,INN24884,0,0,2,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,83.5,31,1,10,183,0
0,Room_Type 1,INN28242,1,0,0,2,2018,3,Meal Plan 1,Canceled,0,Online,121.5,27,0,7,119,0
0,Room_Type 1,INN26332,0,0,0,2,2018,2,Not Selected,Not_Canceled,0,Online,76.5,21,1,3,79,0
0,Room_Type 1,INN14027,0,0,0,1,2018,1,Meal Plan 1,Not_Canceled,0,Corporate,65,16,1,5,3,0
0,Room_Type 4,INN19382,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Online,131.4,1,1,4,32,0
0,Room_Type 1,INN12985,0,0,2,2,2017,2,Meal Plan 1,Not_Canceled,0,Online,107,7,0,10,20,0
0,Room_Type 1,INN28929,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Corporate,107,18,0,3,2,0
0,Room_Type 1,INN31160,0,0,0,2,2018,2,Meal Plan 2,Canceled,0,Offline,130,25,1,3,161,0
0,Room_Type 1,INN16656,0,0,2,1,2018,3,Meal Plan 1,Not_Canceled,0,Online,86.4,8,0,12,45,0
0,Room_Type 1,INN32758,0,0,0,2,2017,2,Meal Plan 2,Canceled,0,Offline,101.5,1,0,7,257,0
0,Room_Type 1,INN20407,0,0,1,2,2017,2,Meal Plan 1,Canceled,0,Online,72.25,13,0,11,72,0
0,Room_Type 1,INN15968,0,0,0,2,2017,1,Meal Plan 2,Canceled,0,Offline,94.5,1,2,8,2,0
0,Room_Type 1,INN14432,0,0,0,2,2018,5,Meal Plan 2,Canceled,0,Offline,137,6,0,9,230,0
0,Room_Type 1,INN23723,0,0,1,2,2018,3,Not Selected,Not_Canceled,0,Online,67.15,10,1,3,46,0
0,Room_Type 1,INN16147,0,0,0,2,2018,1,Meal Plan 2,Not_Canceled,0,Online,139.5,28,0,7,94,0
0,Room_Type 4,INN17791,0,0,2,2,2018,3,Meal Plan 1,Not_Canceled,1,Online,139,3,0,11,18,0
0,Room_Type 1,INN13428,0,0,1,2,2018,3,Not Selected,Not_Canceled,0,Online,125.67,24,0,8,3,0
0,Room_Type 1,INN35567,0,0,1,2,2018,3,Meal Plan 1,Canceled,0,Online,94.5,9,0,8,192,0
0,Room_Type 1,INN03559,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Online,81.9,7,1,3,35,0
0,Room_Type 1,INN26073,0,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,107.67,18,1,11,14,0
0,Room_Type 1,INN02732,0,0,0,2,2017,3,Meal Plan 1,Not_Canceled,0,Offline,70,17,0,9,162,0
0,Room_Type 1,INN19058,0,0,2,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,126.9,21,1,5,57,0
0,Room_Type 1,INN04337,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,0,Offline,100,25,0,8,143,0
0,Room_Type 1,INN26743,0,0,2,2,2018,1,Not Selected,Not_Canceled,0,Online,89.4,21,0,5,31,0
0,Room_Type 6,INN19947,2,0,3,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,181,29,0,7,25,0
0,Room_Type 1,INN25100,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Corporate,160,27,0,9,0,0
0,Room_Type 4,INN33714,0,0,1,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,126,22,0,6,0,0
0,Room_Type 1,INN09742,0,0,1,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,160,7,1,7,2,0
0,Room_Type 4,INN25857,0,0,1,3,2018,2,Meal Plan 1,Canceled,0,Offline,115.6,16,1,9,220,0
0,Room_Type 1,INN16968,0,0,0,2,2018,4,Not Selected,Not_Canceled,0,Online,55.63,29,0,3,113,0
0,Room_Type 1,INN22704,1,0,3,2,2018,5,Meal Plan 1,Not_Canceled,0,Online,119.85,30,1,5,122,0
0,Room_Type 4,INN02007,0,0,1,3,2018,4,Meal Plan 1,Not_Canceled,0,Online,139.2,19,2,8,139,0
0,Room_Type 1,INN17926,0,0,0,2,2018,4,Meal Plan 1,Canceled,0,Online,73.95,21,0,12,279,0
0,Room_Type 1,INN08621,0,0,0,1,2018,1,Meal Plan 1,Not_Canceled,1,Online,104,18,1,4,6,0
0,Room_Type 1,INN26565,0,0,0,1,2017,3,Meal Plan 1,Not_Canceled,0,Corporate,80,1,0,12,34,0
0,Room_Type 4,INN11823,0,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,165,10,0,11,19,0
0,Room_Type 4,INN03194,0,0,2,3,2018,2,Meal Plan 1,Not_Canceled,0,Online,159.3,17,1,6,54,0
0,Room_Type 4,INN20832,0,0,0,3,2018,5,Meal Plan 1,Canceled,0,Online,150.3,22,1,8,116,0
0,Room_Type 1,INN31873,0,0,1,2,2018,2,Meal Plan 2,Canceled,0,Offline,115,14,0,10,377,0
0,Room_Type 6,INN12174,2,0,1,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,231,10,0,8,20,0
0,Room_Type 1,INN25329,0,0,0,2,2018,4,Not Selected,Canceled,0,Online,83.58,26,2,8,200,0
0,Room_Type 1,INN16444,0,0,1,2,2018,2,Not Selected,Not_Canceled,0,Online,77,5,0,2,26,0
0,Room_Type 1,INN32036,0,0,0,1,2018,1,Not Selected,Not_Canceled,0,Online,75.28,22,0,10,0,0
0,Room_Type 1,INN06502,0,0,0,2,2018,6,Meal Plan 1,Not_Canceled,0,Offline,85.5,30,2,8,55,0
0,Room_Type 1,INN35559,0,0,0,2,2018,0,Meal Plan 1,Not_Canceled,0,Online,124,26,2,6,1,0
0,Room_Type 1,INN20443,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,105.3,4,0,5,123,0
0,Room_Type 1,INN04312,0,0,0,2,2018,1,Not Selected,Canceled,0,Online,98.1,12,0,10,182,0
0,Room_Type 4,INN17645,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,125.38,28,1,4,79,0
0,Room_Type 4,INN07263,0,0,2,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,149.4,19,2,8,36,0
0,Room_Type 1,INN06941,0,0,0,1,2017,2,Meal Plan 1,Not_Canceled,0,Offline,76.67,4,1,9,219,0
0,Room_Type 1,INN03363,0,0,0,2,2017,1,Meal Plan 1,Not_Canceled,0,Offline,65,21,1,9,60,0
0,Room_Type 1,INN32112,0,0,2,2,2018,4,Meal Plan 1,Canceled,0,Online,82.45,2,2,4,104,0
0,Room_Type 1,INN27171,0,0,1,2,2018,4,Not Selected,Not_Canceled,0,Online,107.1,9,0,8,74,0
0,Room_Type 1,INN09533,0,0,1,2,2017,1,Meal Plan 1,Not_Canceled,0,Complementary,0,10,0,9,2,0
0,Room_Type 1,INN29928,0,0,1,1,2018,3,Meal Plan 1,Canceled,0,Online,90.9,26,0,4,88,0
0,Room_Type 1,INN02849,0,0,1,2,2017,5,Meal Plan 1,Not_Canceled,0,Online,89.25,6,0,10,92,0
0,Room_Type 4,INN03071,0,0,2,3,2018,1,Meal Plan 1,Canceled,0,Online,146.7,7,2,8,195,0
0,Room_Type 1,INN32338,0,0,0,3,2018,1,Meal Plan 2,Not_Canceled,0,Offline,141.9,20,2,8,106,0
0,Room_Type 4,INN25411,0,0,0,1,2018,1,Meal Plan 1,Canceled,0,Online,156,13,0,5,18,0
0,Room_Type 1,INN17304,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Offline,80.75,8,2,10,89,0
0,Room_Type 1,INN10867,0,0,0,2,2018,3,Not Selected,Canceled,0,Online,108,3,1,10,49,0
0,Room_Type 1,INN17815,0,0,2,1,2018,1,Meal Plan 1,Not_Canceled,0,Online,86,7,2,2,20,0
0,Room_Type 1,INN05625,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Online,89.89,10,2,12,0,0
0,Room_Type 1,INN34411,0,0,1,1,2018,5,Meal Plan 1,Not_Canceled,0,Offline,63.75,23,2,12,66,0
0,Room_Type 1,INN32717,0,0,0,2,2018,5,Meal Plan 1,Canceled,0,Offline,85,3,2,10,67,0
0,Room_Type 1,INN05551,1,0,2,2,2018,7,Meal Plan 1,Not_Canceled,0,Online,140.05,9,4,4,19,0
0,Room_Type 1,INN03424,0,0,0,1,2018,1,Not Selected,Not_Canceled,0,Online,89,5,0,4,0,0
0,Room_Type 5,INN01580,0,0,0,2,2017,1,Meal Plan 2,Canceled,0,Online,138,28,1,9,96,0
0,Room_Type 1,INN23905,0,0,1,1,2018,2,Meal Plan 1,Not_Canceled,0,Online,108.33,13,1,6,8,0
0,Room_Type 1,INN22752,0,0,0,2,2018,2,Not Selected,Not_Canceled,0,Online,95,9,0,12,17,0
0,Room_Type 1,INN02275,0,0,1,2,2018,1,Not Selected,Not_Canceled,0,Online,95.1,26,2,6,55,0
0,Room_Type 1,INN08793,0,0,0,2,2017,1,Meal Plan 1,Not_Canceled,0,Offline,67,17,0,10,289,0
0,Room_Type 6,INN09165,1,0,0,2,2018,2,Meal Plan 1,Canceled,0,Online,198.9,20,0,7,49,0
0,Room_Type 1,INN01222,0,0,0,2,2017,3,Meal Plan 1,Not_Canceled,0,Offline,95,22,0,9,71,0
0,Room_Type 4,INN34311,0,0,0,2,2018,5,Meal Plan 1,Not_Canceled,0,Online,97,15,2,1,18,0
0,Room_Type 1,INN05509,0,0,0,2,2017,2,Meal Plan 2,Not_Canceled,0,Offline,109,14,0,8,39,0
0,Room_Type 1,INN17726,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,0,Offline,105,13,0,10,37,0
0,Room_Type 1,INN04577,0,0,0,1,2018,2,Meal Plan 1,Canceled,0,Online,130,15,0,6,188,0
0,Room_Type 1,INN28677,0,0,2,3,2018,5,Meal Plan 1,Not_Canceled,0,Online,95.13,14,2,8,180,0
0,Room_Type 1,INN26546,0,0,0,2,2018,3,Meal Plan 1,Canceled,0,Offline,70,8,0,9,433,0
0,Room_Type 1,INN07842,0,0,0,1,2018,2,Meal Plan 1,Not_Canceled,0,Online,90.9,15,0,4,119,0
0,Room_Type 1,INN00025,0,0,1,2,2018,1,Not Selected,Not_Canceled,0,Online,94.5,22,2,5,130,0
0,Room_Type 1,INN31044,0,0,1,1,2017,1,Meal Plan 1,Not_Canceled,0,Online,0,5,0,11,0,0
0,Room_Type 1,INN33812,0,0,1,2,2018,5,Meal Plan 1,Not_Canceled,0,Online,90.95,14,4,8,221,0
0,Room_Type 1,INN31186,0,0,1,2,2018,4,Meal Plan 1,Not_Canceled,0,Online,141,29,0,3,16,0
0,Room_Type 4,INN07986,0,0,1,1,2018,2,Meal Plan 1,Canceled,0,Online,140.4,7,1,10,253,0
0,Room_Type 4,INN20534,0,0,1,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,120.6,31,2,7,105,0
0,Room_Type 1,INN17659,1,0,2,2,2018,3,Meal Plan 1,Not_Canceled,0,Online,115.09,24,2,4,56,0
0,Room_Type 1,INN28192,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Offline,80.75,11,1,4,80,0
0,Room_Type 1,INN02345,0,0,0,2,2017,1,Meal Plan 2,Not_Canceled,0,Offline,94.5,8,2,8,124,0
0,Room_Type 1,INN25449,0,0,0,1,2018,3,Meal Plan 1,Not_Canceled,0,Corporate,84,13,2,11,5,0
0,Room_Type 1,INN02102,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,1,Corporate,91,19,0,2,1,0
0,Room_Type 1,INN04226,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Offline,100,3,0,6,70,0
0,Room_Type 1,INN24581,0,0,0,2,2018,2,Not Selected,Canceled,0,Online,80.7,30,1,12,244,0
0,Room_Type 4,INN04762,0,0,1,2,2018,3,Meal Plan 1,Canceled,0,Online,164,26,1,9,14,0
0,Room_Type 1,INN08194,0,0,1,2,2018,1,Meal Plan 1,Not_Canceled,0,Online,80.3,16,0,1,6,0
0,Room_Type 1,INN29191,0,0,1,1,2018,0,Meal Plan 1,Not_Canceled,0,Online,94.5,26,1,6,34,0
0,Room_Type 4,INN30934,0,0,1,2,2018,3,Meal Plan 2,Not_Canceled,1,Online,129.02,23,2,4,90,0
0,Room_Type 1,INN29104,1,0,1,2,2017,7,Meal Plan 1,Not_Canceled,0,Online,75.79,31,2,7,80,0
0,Room_Type 2,INN02987,0,0,0,2,2018,2,Meal Plan 1,Not_Canceled,0,Offline,80.75,10,1,6,137,0
0,Room_Type 1,INN16109,0,0,0,2,2017,4,Meal Plan 1,Not_Canceled,0,Offline,54.75,9,0,9,8,0
0,Room_Type 1,INN04914,0,0,0,2,2018,1,Not Selected,Canceled,0,Online,100,4,0,11,20,0
0,Room_Type 1,INN24791,0,0,0,1,2018,1,Meal Plan 1,Not_Canceled,0,Online,79,11,0,2,8,0
0,Room_Type 1,INN31048,0,0,0,2,2018,3,Meal Plan 1,Canceled,0,Offline,85,30,1,6,113,0
0,Room_Type 1,INN35821,0,0,2,2,2018,3,Not Selected,Not_Canceled,0,Online,100,2,0,11,26,0
0,Room_Type 1,INN14145,0,0,0,2,2018,1,Meal Plan 1,Not_Canceled,0,Offline,120,8,0,6,56,0
0,Room_Type 1,INN24335,0,0,0,1,2017,1,Meal Plan 1,Not_Canceled,0,Offline,130,29,0,10,28,0
0,Room_Type 1,INN30982,0,0,0,2,2018,3,Meal Plan 1,Not_Canceled,1,Offline,81.25,7,2,7,128,0
0,Room_Type 2,INN07495,1,0,0,1,2017,4,Meal Plan 2,Not_Canceled,0,Offline,102.74,26,1,10,34,0
0,Room_Type 1,INN21784,0,0,0,2,2018,2,Meal Plan 1,Canceled,0,Offline,95,13,1,5,273,0
0,Room_Type 6,INN24784,1,0,0,2,2018,3,Meal Plan 1,Canceled,0,Online,177.3,21,1,4,38,0
