lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
113,0,55.63,3,29,4,4,0,3,0,1
122,3,119.85,5,30,4,5,1,0,0,1
139,1,139.2,8,19,4,4,2,0,3,1
279,0,73.95,12,21,4,4,0,0,0,0
6,0,104.0,4,18,4,1,1,0,0,1
34,0,80.0,12,1,2,3,0,0,0,1
19,1,165.0,11,10,4,2,0,0,3,1
54,2,159.3,6,17,4,2,1,0,3,1
116,0,150.3,8,22,4,5,1,0,3,0
377,1,115.0,10,14,3,2,0,1,0,0
20,1,231.0,8,10,4,2,0,0,5,1
200,0,83.58,8,26,4,4,2,3,0,0
26,1,77.0,2,5,4,2,0,3,0,1
0,0,75.28,10,22,4,1,0,3,0,1
55,0,85.5,8,30,3,6,2,0,0,1
1,0,124.0,6,26,4,0,2,0,0,1
123,0,105.3,5,4,4,3,0,0,0,1
182,0,98.1,10,12,4,1,0,3,0,0
79,0,125.38,4,28,4,3,1,0,3,1
36,2,149.4,8,19,4,3,2,0,3,1
219,0,76.67,9,4,3,2,1,0,0,1
60,0,65.0,9,21,3,1,1,0,0,1
104,2,82.45,4,2,4,4,2,0,0,0
74,1,107.1,8,9,4,4,0,3,0,1
2,1,0.0,9,10,1,1,0,0,0,1
88,1,90.9,4,26,4,3,0,0,0,0
92,1,89.25,10,6,4,5,0,0,0,1
195,2,146.7,8,7,4,1,2,0,3,0
106,0,141.9,8,20,3,1,2,1,0,1
18,0,156.0,5,13,4,1,0,0,3,0
89,0,80.75,10,8,3,2,2,0,0,0
49,0,108.0,10,3,4,3,1,3,0,0
20,2,86.0,2,7,4,1,2,0,0,1
0,0,89.89,12,10,4,2,2,0,0,1
66,1,63.75,12,23,3,5,2,0,0,1
67,0,85.0,10,3,3,5,2,0,0,0
19,2,140.05,4,9,4,7,4,0,0,1
0,0,89.0,4,5,4,1,0,3,0,1
96,0,138.0,9,28,4,1,1,1,4,0
8,1,108.33,6,13,4,2,1,0,0,1
17,0,95.0,12,9,4,2,0,3,0,1
55,1,95.1,6,26,4,1,2,3,0,1
49,0,198.9,7,20,4,2,0,0,5,0
71,0,95.0,9,22,3,3,0,0,0,1
18,0,97.0,1,15,4,5,2,0,3,1
39,0,109.0,8,14,3,2,0,1,0,1
37,0,105.0,10,13,3,3,0,0,0,1
188,0,130.0,6,15,4,2,0,0,0,0
180,2,95.13,8,14,4,5,2,0,0,1
433,0,70.0,9,8,3,3,0,0,0,0
119,0,90.9,4,15,4,2,0,0,0,1
130,1,94.5,5,22,4,1,2,3,0,1
0,1,0.0,11,5,4,1,0,0,0,1
221,1,90.95,8,14,4,5,4,0,0,1
16,1,141.0,3,29,4,4,0,0,0,1
253,1,140.4,10,7,4,2,1,0,3,0
105,1,120.6,7,31,4,3,2,0,3,1
56,2,115.09,4,24,4,3,2,0,0,1
80,0,80.75,4,11,3,2,1,0,0,1
124,0,94.5,8,8,3,1,2,1,0,1
5,0,84.0,11,13,2,3,2,0,0,1
1,0,91.0,2,19,2,1,0,0,0,1
70,0,100.0,6,3,3,2,0,0,0,1
244,0,80.7,12,30,4,2,1,3,0,0
14,1,164.0,9,26,4,3,1,0,3,0
6,1,80.3,1,16,4,1,0,0,0,1
34,1,94.5,6,26,4,0,1,0,0,1
90,1,129.02,4,23,4,3,2,1,3,1
80,1,75.79,7,31,4,7,2,0,0,1
137,0,80.75,6,10,3,2,1,0,1,1
8,0,54.75,9,9,3,4,0,0,0,1
20,0,100.0,11,4,4,1,0,3,0,0
8,0,79.0,2,11,4,1,0,0,0,1
113,0,85.0,6,30,3,3,1,0,0,0
26,2,100.0,11,2,4,3,0,3,0,1
56,0,120.0,6,8,3,1,0,0,0,1
28,0,130.0,10,29,3,1,0,0,0,1
128,0,81.25,7,7,3,3,2,0,0,1
34,0,102.74,10,26,3,4,1,1,1,1
273,0,95.0,5,13,3,2,1,0,0,0
38,0,177.3,4,21,4,3,1,0,5,0
21,1,88.4,12,20,4,5,2,0,0,1
87,0,105.3,4,9,4,1,1,0,3,0
47,0,85.0,8,22,3,3,1,0,0,1
38,3,77.23,11,2,4,4,0,0,3,1
17,2,114.5,9,17,4,2,0,0,0,1
187,1,122.4,10,1,4,2,2,0,3,0
86,0,182.53,9,25,3,3,2,1,3,1
128,2,146.7,7,8,4,2,0,0,0,1
2,0,64.8,11,30,3,0,1,0,0,1
17,2,224.1,9,21,4,1,0,0,5,1
48,2,111.6,10,2,4,2,0,0,0,1
48,1,126.0,10,17,4,2,1,3,0,0
1,0,65.0,3,9,2,2,0,0,0,1
91,0,90.95,6,3,3,2,1,0,3,0
86,1,121.14,10,22,4,3,2,0,3,0
169,0,130.05,8,11,4,3,1,0,3,0
229,0,89.25,10,22,4,2,2,0,0,0
178,1,106.25,10,24,3,3,1,1,0,0
61,2,81.9,11,14,4,1,2,0,3,1
11,0,128.0,8,16,4,1,0,0,0,1
16,1,68.0,11,16,3,4,0,0,0,1
323,0,70.0,5,17,3,4,0,0,0,0
14,0,161.0,3,31,4,3,2,0,3,1
0,0,117.04,10,29,4,1,1,0,0,1
124,1,110.1,5,13,4,2,1,0,0,1
14,1,69.5,1,23,4,1,1,3,0,1
88,1,102.3,6,26,4,1,2,0,0,1
1,1,226.17,10,2,4,2,1,0,5,1
167,0,137.7,7,29,4,2,0,0,3,0
49,0,44.67,3,12,3,1,2,0,0,1
245,0,75.0,6,17,4,2,0,0,0,0
58,1,85.3,3,1,4,8,2,0,3,1
279,0,110.0,10,12,4,3,0,0,0,0
71,0,137.53,9,14,3,5,2,0,3,1
85,0,97.75,3,24,4,3,2,0,3,0
104,1,96.55,4,28,4,3,2,3,0,1
38,0,88.2,3,24,4,1,0,3,0,0
10,1,141.0,5,6,4,2,2,0,3,1
104,1,65.67,4,11,4,5,1,0,0,1
55,0,104.0,4,6,3,1,0,1,0,1
59,1,75.0,11,14,3,2,1,0,0,1
56,0,97.2,11,11,4,2,0,0,0,1
157,2,101.58,7,11,4,3,1,0,0,0
12,1,107.0,10,25,4,0,1,0,0,1
44,0,85.0,4,23,3,1,2,0,0,1
0,0,74.67,1,2,4,1,0,0,0,1
30,1,135.9,7,26,4,4,0,0,0,0
11,1,110.46,7,24,4,2,2,0,0,1
17,1,90.95,11,3,4,5,0,0,0,1
36,2,161.1,7,25,4,0,1,0,0,1
292,0,115.0,7,21,3,2,0,1,0,0
10,0,89.59,12,3,4,3,2,0,0,1
166,0,90.95,7,7,4,3,1,0,0,0
22,0,114.0,9,18,4,1,0,0,0,1
93,3,150.45,5,12,4,3,2,0,0,1
9,1,87.0,10,31,4,1,2,0,0,1
21,1,169.0,10,4,4,2,0,0,0,1
79,0,70.0,11,13,3,2,0,0,0,1
89,3,79.2,11,19,4,1,1,3,0,1
104,3,146.7,7,5,4,1,0,0,3,1
37,1,134.1,6,17,3,2,0,1,4,1
102,0,101.5,10,16,3,2,0,1,0,0
346,1,115.0,9,13,4,2,0,1,0,0
13,1,100.0,9,15,2,1,0,3,0,1
192,0,102.0,9,25,3,3,2,0,0,0
14,1,129.0,9,20,4,1,0,3,0,1
39,0,87.0,8,14,3,2,0,1,0,1
133,1,80.75,4,25,3,2,1,0,0,1
160,1,103.22,6,12,4,2,2,0,1,0
31,1,140.4,5,20,4,1,0,0,3,1
71,0,120.0,6,14,3,3,0,0,0,1
9,0,80.0,2,27,4,1,0,0,0,1
29,0,145.6,4,29,4,2,1,0,3,0
8,1,91.0,6,23,4,1,0,0,0,1
100,0,108.0,10,16,3,1,0,1,0,0
31,0,81.9,3,14,4,1,1,0,1,1
63,2,107.1,9,1,4,3,2,0,0,1
4,0,116.0,12,11,4,2,0,0,3,1
32,0,73.0,11,20,3,2,0,0,0,1
14,0,100.0,10,15,3,2,0,0,0,1
29,0,85.0,12,2,2,2,0,0,0,1
54,0,91.13,4,30,4,1,1,0,0,0
159,1,70.0,4,9,3,1,1,0,0,1
277,1,89.14,9,5,3,5,2,1,0,1
84,1,87.3,4,1,4,2,1,0,0,1
3,0,0.0,8,4,1,1,0,0,0,1
182,0,99.3,8,24,4,3,0,0,0,0
305,0,89.0,11,4,3,2,1,0,0,0
15,0,58.0,12,19,3,2,2,0,0,1
0,0,79.0,1,26,2,2,0,0,0,1
30,2,126.6,4,27,4,3,0,0,3,1
101,0,70.0,4,4,3,2,1,0,0,0
8,0,79.0,12,9,2,2,0,0,0,1
0,0,95.0,10,5,2,1,0,0,0,1
0,0,139.0,10,20,4,1,0,0,0,1
3,0,138.5,7,11,3,1,2,1,0,1
110,0,94.5,7,25,3,1,2,1,0,0
1,1,133.98,10,7,4,2,0,3,0,1
193,1,120.7,12,28,4,4,0,0,3,0
6,1,65.0,12,26,2,0,1,0,0,1
301,1,115.0,7,30,3,1,1,1,0,0
69,0,120.0,6,12,3,4,2,0,0,0
86,1,73.95,3,20,4,2,2,0,0,1
11,1,66.99,12,13,4,0,2,0,0,1
90,1,72.25,12,4,4,2,2,0,0,1
317,0,120.0,9,15,3,2,0,0,0,0
17,0,111.0,12,9,4,1,0,0,0,1
62,1,76.91,4,25,4,3,1,0,0,1
95,1,82.07,4,27,4,4,0,0,3,0
21,1,174.0,11,18,4,2,0,0,5,0
113,0,100.0,5,31,2,3,0,0,0,0
54,1,65.0,11,18,2,1,0,0,0,1
172,0,104.4,10,28,4,2,2,0,3,0
18,1,80.0,2,21,4,0,1,0,0,1
0,2,96.0,8,28,4,1,0,0,0,1
11,1,130.0,11,5,4,1,0,0,0,0
145,1,186.3,8,11,4,2,0,0,5,1
178,0,108.3,8,4,4,3,0,0,0,0
164,0,100.0,10,2,3,2,0,0,0,1
16,2,125.0,11,19,4,1,0,0,0,1
245,0,75.0,6,17,3,2,0,0,0,0
6,1,108.0,2,21,4,0,1,0,3,1
11,2,155.0,10,9,4,1,0,0,3,1
2,2,147.0,3,27,4,2,2,0,3,1
3,0,55.6,12,19,4,0,1,3,0,1
29,2,152.0,10,5,4,2,0,0,0,1
98,3,90.97,6,5,4,3,2,0,0,1
86,1,65.0,5,20,3,2,1,0,0,1
0,0,81.0,8,6,4,3,1,3,0,1
72,0,132.6,5,22,4,3,2,0,3,0
161,1,96.9,7,15,3,2,1,0,0,1
14,1,136.0,10,5,4,2,1,0,3,1
40,1,135.33,11,7,4,2,1,3,0,1
37,0,94.5,6,20,4,2,1,0,0,1
150,1,80.75,9,6,3,3,0,0,0,1
124,0,94.5,8,8,3,1,2,1,0,0
67,1,123.3,7,20,4,2,0,0,3,1
37,0,95.0,10,13,3,3,0,0,0,1
320,0,90.0,8,18,3,2,0,1,0,1
49,0,65.0,3,4,3,5,2,0,0,1
0,1,115.0,5,23,3,0,1,0,0,1
145,0,99.45,5,3,4,4,0,0,0,1
148,0,96.9,8,21,3,1,2,0,0,0
25,1,85.0,11,1,4,4,0,3,0,1
28,3,109.7,9,5,4,2,1,0,0,1
148,1,93.5,9,11,4,2,0,0,0,1
78,0,100.0,3,25,3,2,1,0,0,0
40,1,69.5,1,14,4,3,1,3,0,1
22,3,159.0,9,15,4,1,0,0,0,1
6,2,95.5,8,30,4,2,2,0,0,1
346,1,115.0,9,13,3,2,0,1,0,0
86,1,146.6,11,6,4,2,2,0,3,0
137,1,114.28,10,15,4,5,2,0,3,1
0,1,44.0,1,5,4,2,0,3,0,1
48,1,69.5,3,5,4,1,2,3,0,1
53,0,94.5,9,18,3,0,2,0,0,1
37,0,95.0,9,20,4,2,2,0,0,1
27,0,85.0,10,19,3,3,0,0,0,1
39,1,142.8,3,24,4,3,0,0,0,1
101,1,79.2,12,6,4,1,0,3,0,0
9,0,68.0,12,16,3,2,1,0,0,1
115,0,132.3,10,15,4,4,2,0,3,0
83,0,112.2,9,30,3,1,0,1,0,1
3,1,81.3,12,27,4,1,2,0,0,1
16,3,132.33,6,13,4,2,1,0,0,1
49,2,84.45,2,6,4,2,2,0,3,1
193,0,160.2,12,29,4,3,0,0,5,1
5,0,117.73,5,29,4,2,2,0,3,0
92,0,90.0,11,2,4,4,1,0,0,1
67,0,106.25,7,10,3,3,2,0,0,1
5,0,90.0,10,19,3,2,1,0,0,1
18,1,94.96,10,31,4,2,2,0,0,1
151,0,71.0,1,19,3,2,0,0,0,1
89,0,79.82,12,30,4,3,0,0,0,1
4,0,81.0,2,19,2,1,0,0,0,1
7,1,106.33,3,10,4,3,0,0,0,1
51,1,68.47,11,17,4,3,0,0,0,1
93,0,115.0,10,15,3,1,2,0,0,0
260,3,108.68,10,22,4,5,2,0,0,1
135,2,162.0,9,25,4,0,2,0,3,1
31,0,107.1,6,20,4,1,1,0,3,0
95,1,73.95,3,17,4,3,2,0,0,1
54,0,54.46,3,28,4,4,1,3,0,1
137,1,75.66,11,16,4,4,2,0,0,1
87,0,141.3,6,26,4,3,2,1,0,0
177,1,103.5,8,16,4,2,0,3,0,0
203,1,65.49,8,8,4,4,1,0,0,1
117,0,66.14,3,2,4,1,0,0,0,1
0,0,80.0,12,25,4,0,2,3,0,1
0,0,200.0,9,18,4,1,0,0,0,1
21,0,234.0,9,19,4,3,1,0,5,0
291,0,115.0,8,19,3,2,0,1,0,0
5,1,131.0,4,23,4,1,1,0,3,1
58,1,102.15,10,31,4,1,1,0,0,1
65,1,88.0,11,13,4,5,2,3,0,1
12,0,104.0,12,4,4,0,2,0,0,1
33,1,113.0,11,26,4,1,0,0,0,1
14,1,119.0,9,28,2,1,0,0,3,1
0,0,103.1,3,6,4,0,1,0,0,1
159,1,114.75,5,13,4,2,2,0,0,0
1,0,105.0,5,16,4,0,1,0,0,0
172,0,102.3,8,23,4,3,0,0,0,0
87,1,82.45,4,7,4,3,1,0,0,1
55,1,78.3,3,13,4,1,2,0,0,1
50,0,99.0,9,2,4,1,0,3,0,0
286,0,90.0,10,16,4,0,1,0,0,0
66,1,89.25,10,19,4,3,1,0,0,1
134,1,114.96,6,2,4,3,1,0,1,1
11,0,90.0,6,14,2,3,0,0,3,1
20,2,96.9,12,21,4,4,2,0,3,1
78,0,68.0,7,31,4,3,2,0,0,1
11,1,87.0,11,1,4,1,2,0,0,1
1,0,115.0,8,4,4,1,0,0,0,1
89,3,72.25,7,17,3,2,2,0,0,1
4,0,103.0,4,10,4,0,2,0,0,1
18,2,111.75,10,2,4,2,2,0,0,1
163,2,126.9,9,23,4,1,0,0,0,0
11,1,133.5,5,8,4,2,2,0,3,1
138,0,71.0,4,23,3,1,2,0,0,1
49,0,105.3,7,9,4,1,1,3,0,0
63,3,99.9,6,20,4,3,1,0,0,1
10,1,76.08,9,7,4,4,1,0,0,1
271,0,95.0,9,21,3,3,0,1,0,0
128,2,116.32,7,11,4,2,1,0,0,1
3,0,71.2,5,16,3,0,1,3,0,1
19,0,154.0,4,13,4,1,0,3,0,1
1,1,127.0,12,30,4,3,0,0,0,1
259,0,90.0,5,5,3,3,0,0,0,0
40,2,62.29,2,21,4,1,2,0,0,1
134,0,65.0,12,4,3,2,2,0,0,1
307,1,158.4,8,14,4,3,2,0,5,0
102,0,87.0,10,16,3,2,0,1,0,1
147,0,89.25,10,16,4,2,1,0,0,1
109,0,133.2,8,24,4,4,0,0,3,0
7,2,136.0,10,21,4,2,0,0,3,1
1,1,65.0,3,2,2,1,0,0,0,1
10,0,85.0,9,3,3,3,1,0,0,1
34,1,139.5,10,2,4,2,2,0,3,0
164,0,115.0,10,16,3,0,1,0,0,0
256,1,72.25,8,26,3,2,0,0,0,1
177,0,100.0,6,3,3,2,0,0,0,0
0,0,118.8,9,7,4,1,1,0,3,0
54,1,180.0,3,20,4,1,2,0,5,1
172,0,109.8,8,25,4,3,0,0,3,0
89,1,139.95,7,18,4,3,1,0,3,0
5,2,105.0,8,20,4,1,0,0,0,1
0,0,130.0,10,29,3,1,0,0,0,1
17,0,66.0,2,19,3,2,1,0,0,1
1,2,150.0,10,17,4,0,1,0,0,1
16,0,104.67,11,18,4,2,1,0,0,1
11,0,87.0,2,19,3,2,1,0,0,1
122,0,95.2,4,29,4,2,2,0,0,0
43,1,92.4,11,12,4,1,2,3,0,1
129,3,101.18,12,8,4,2,0,0,3,1
16,1,148.0,2,27,4,3,2,1,3,1
197,1,86.9,8,11,4,1,0,0,3,0
215,1,99.45,7,6,4,9,3,0,3,1
31,0,80.3,2,3,4,4,0,0,0,1
39,0,80.75,9,18,3,2,2,0,0,1
359,1,78.0,10,14,3,3,2,0,0,1
27,1,110.0,10,28,4,2,2,3,0,1
90,1,90.3,4,9,4,1,2,0,0,1
16,0,104.0,8,15,3,1,1,1,0,1
8,2,99.0,8,13,4,3,0,0,0,1
21,0,101.15,5,29,4,3,2,0,0,1
6,1,211.41,9,25,4,2,2,0,6,1
72,0,156.61,12,26,4,3,1,0,5,0
92,1,96.9,12,22,4,3,2,0,3,1
266,0,73.95,12,26,4,3,1,0,0,0
188,0,130.0,6,15,3,2,0,0,0,0
107,1,102.3,4,14,4,3,0,0,3,0
106,2,91.6,12,25,4,1,2,0,1,1
75,0,80.0,3,17,4,3,1,0,0,0
106,0,152.1,8,24,4,4,0,0,3,0
83,1,101.15,9,4,3,0,1,0,4,1
180,0,120.0,10,10,3,2,1,0,0,0
35,0,79.2,12,7,4,7,2,3,0,0
75,1,79.2,11,12,4,1,1,3,0,1
141,0,90.0,9,20,3,0,1,0,0,1
4,0,85.0,2,12,3,2,2,0,0,1
178,0,117.6,8,26,3,2,0,0,4,0
7,0,119.0,3,30,4,1,0,0,0,1
148,2,133.45,7,21,4,3,2,0,0,1
19,0,172.0,3,26,4,2,2,0,0,0
88,1,117.0,5,3,3,3,0,1,0,1
0,0,72.0,8,17,2,1,1,0,0,1
76,1,125.1,9,27,4,3,0,3,0,1
6,1,88.51,4,21,4,3,0,0,0,1
29,3,144.68,9,9,4,2,2,0,0,1
61,1,207.64,9,7,4,5,2,0,5,1
42,0,93.6,3,22,4,1,0,0,0,1
108,0,80.75,9,27,3,3,0,0,0,1
322,0,80.0,5,19,3,3,1,0,0,0
361,0,91.0,11,4,4,1,0,0,0,0
19,2,187.0,7,3,4,2,2,0,3,1
46,1,60.0,11,6,3,2,1,0,3,1
149,0,80.75,8,29,4,2,2,0,0,0
26,2,145.0,4,15,4,2,0,0,0,1
13,0,87.0,2,21,3,0,2,0,0,1
26,0,171.0,2,8,4,1,1,0,5,0
181,0,120.0,10,11,3,2,0,0,0,0
77,0,90.95,4,13,4,4,0,0,0,1
63,0,54.46,3,30,4,4,0,3,0,1
44,1,107.5,3,20,4,3,2,0,3,1
33,1,125.1,7,23,4,1,2,3,0,1
64,4,120.15,9,5,4,1,1,0,0,1
80,0,126.9,5,14,4,1,2,0,0,0
0,0,75.0,8,10,4,0,1,3,0,0
75,0,105.0,10,30,3,0,2,1,0,0
76,0,120.0,10,10,3,0,1,0,0,0
93,0,84.0,7,2,2,4,2,0,0,1
6,0,179.38,11,9,2,1,0,0,0,1
11,0,79.05,11,17,4,3,2,3,0,0
160,1,131.4,9,29,4,3,1,0,3,0
141,2,128.85,6,15,4,4,0,0,0,1
50,1,58.94,1,24,4,3,2,0,0,1
39,2,140.0,11,19,4,1,1,0,3,1
128,0,85.5,6,27,4,2,1,3,0,0
112,1,94.5,7,17,4,2,2,3,0,1
37,0,120.0,12,28,4,3,0,3,0,0
96,0,94.5,7,11,3,1,2,1,0,1
50,0,159.6,8,22,4,6,3,0,3,0
49,0,85.0,5,6,3,2,0,3,0,1
15,0,106.33,12,7,4,3,0,0,0,1
74,0,101.5,9,18,3,2,0,1,0,1
259,0,90.0,5,5,4,3,0,0,0,0
157,0,84.24,5,19,4,1,0,0,0,0
85,0,98.0,12,3,4,1,1,0,0,1
64,2,149.0,11,17,4,3,0,0,3,1
11,0,119.0,9,5,4,2,1,3,0,0
110,0,70.0,12,9,3,4,0,0,0,1
90,0,84.45,3,6,4,3,2,0,3,1
0,1,0.0,3,21,1,1,1,0,6,1
36,0,126.0,9,5,4,0,1,0,0,0
17,1,68.0,2,6,4,5,2,0,0,0
30,1,88.0,11,14,4,0,1,3,0,1
8,0,123.2,10,19,4,2,0,0,0,1
21,0,91.0,3,7,4,0,1,0,0,0
4,1,65.0,11,21,2,2,1,0,0,1
315,0,52.0,12,2,3,2,0,0,0,1
58,0,79.2,12,12,4,0,1,3,0,0
159,0,144.0,9,19,3,2,1,0,0,0
5,0,89.0,4,19,4,1,0,3,0,1
3,1,137.33,5,26,4,3,0,0,3,1
169,0,106.0,4,22,3,2,2,1,0,0
151,1,143.28,12,29,4,3,0,0,0,0
138,0,94.5,8,22,3,1,2,1,0,1
320,1,115.0,8,18,4,2,0,1,0,0
13,2,140.0,10,17,4,2,1,3,0,1
12,1,140.0,10,21,4,2,0,3,0,1
2,2,179.0,8,6,4,1,0,0,0,1
23,2,188.0,12,30,4,1,0,0,3,1
86,0,137.7,7,26,4,2,0,0,3,1
0,0,67.95,12,2,4,4,0,3,0,1
154,1,111.3,7,10,4,1,2,0,0,0
125,0,99.9,7,29,4,1,0,0,0,1
16,1,118.0,2,19,3,2,1,0,0,1
